type,clientName,clientNameEn,code,description,exchange,full_name,name,securityName,stockNo,createdAt,updatedAt,marketCapPrev,sharesOutstanding,sort,symbol_ref,lastDateSyncIDS
s,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,PetroVietnam Oil Nam Dinh Joint Stock Company,PND,,UPCOM,PND,PND,,upcom:75660,2022-05-05T06:56:56.328Z,2023-10-04T01:30:29.346Z,46666662000.0,6666666.0,,,
s,Công ty Cổ phần Dược - Vật tư Y tế Thanh Hóa,Thanh Hoa Medical Materials Pharmaceutial Joint Stock Company,DTH,,UPCOM,DTH,DTH,,upcom:80901,2022-05-05T06:56:56.264Z,2023-10-04T01:30:29.615Z,101554205600.0,7467221.0,,,
s,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Can Tho Mineral And Cement Joint Stock Company,CCM,,UPCOM,CCM,CCM,,upcom:5044,2022-05-05T06:56:56.277Z,2023-10-04T01:30:29.726Z,231876110400.0,6199896.0,,,
b,,,BCG122006,,HNX,BCG122006,BCG122006,,hnx:81081,2022-06-17T01:15:00.542Z,2022-06-17T01:15:00.542Z,,,,,
b,,,VIC121005,,HNX,VIC121005,VIC121005,,hnx:81201,2022-07-14T01:15:00.560Z,2022-07-14T01:15:00.560Z,,,,,
b,,,CII42013,,HNX,CII42013,CII42013,,hnx:81261,2022-08-18T09:38:15.434Z,2022-08-18T09:38:15.434Z,,,,,
s,Công ty Cổ phần Môi trường và Công trình Đô thị Đông Hà,Dong Ha Environment And Urban Works Joint Stock Company,MCD,,UPCOM,MCD,MCD,,upcom:81401,2022-10-20T00:50:00.327Z,2023-10-04T01:30:31.151Z,5212698300.0,332019.0,,,
b,,,BVB122028,,HNX,BVB122028,BVB122028,,hnx:81526,2023-01-12T00:50:00.222Z,2023-01-12T00:50:00.222Z,,,,,
f,,,GB05F2312,,FU,GB05F2312,GB05F2312,,fu:1182,2023-03-16T01:30:00.209Z,2023-03-16T01:30:00.209Z,,,,,
s,Công ty Cổ phần Du lịch - Dịch vụ Hội An,Hoi An Tourist Service Joint Stock Company,HOT,,UPCOM,HOT,HOT,,upcom:81581,2023-05-12T00:50:00.253Z,2023-10-04T01:30:31.505Z,143198872300.0,7999937.0,,,
s,Công ty Cổ phần Đầu tư và Xây dựng HUD3,HUD3 Investment and Construction Joint Stock Company,HU3,,UPCOM,HU3,HU3,,upcom:81622,2023-06-03T01:45:18.068Z,2023-10-04T01:30:31.826Z,43119758528.0,9999944.0,,,
